,order_number,line_item,order_date,delivery_date,customerkey,storekey,productkey,quantity,currency_code,gender,name,city,state_code,state,zip_code,country,continent,birthday,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
0,366005,1,2016-01-01,Not Available,844003,33,421,4,EUR,Male,Ouassim Heuver,Leeuwarden,FR,Friesland,8916 CD,Netherlands,Europe,1995-06-22,2016-01-01,EUR,0.9185,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Silver,215.68,469.0,303,Desktops,3,Computers,1540.0,2015-12-09
1,367006,1,2016-01-02,Not Available,693285,18,2445,3,EUR,Female,Solaine Lanoie,DZAOUDZI,MY,Mayotte,97610,France,Europe,1978-11-20,2016-01-02,EUR,0.9185,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,Litware,Green,2.54,4.99,808,Fans,8,Home Appliances,310.0,2012-08-08
2,367010,1,2016-01-02,Not Available,1322959,66,917,1,USD,Male,Eric Williams,Big Piney,WY,Wyoming,83113,United States,North America,1959-11-05,2016-01-02,USD,1.0,SV 500GB USB 2.0 Portable External Hard Drive X405 White,Southridge Video,White,59.31,179.0,308,Computers Accessories,3,Computers,840.0,2014-01-01
3,367010,2,2016-01-02,Not Available,1322959,66,39,1,USD,Male,Eric Williams,Big Piney,WY,Wyoming,83113,United States,North America,1959-11-05,2016-01-02,USD,1.0,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,99.14,299.23,101,MP4&MP3,1,Audio,840.0,2014-01-01
4,369007,1,2016-01-04,Not Available,571622,20,2510,3,EUR,Male,Sven Schulze,Birkenwerder,BB,Brandenburg,16547,Germany,Europe,1986-02-08,2016-01-04,EUR,0.9176,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,2.07,4.06,505,Cell phones Accessories,5,Cell phones,1715.0,2012-12-15
5,369007,2,2016-01-04,Not Available,571622,20,2103,1,EUR,Male,Sven Schulze,Birkenwerder,BB,Brandenburg,16547,Germany,Europe,1986-02-08,2016-01-04,EUR,0.9176,Contoso Water Heater 2.6GPM E0900 Silver,Contoso,Silver,258.99,508.0,804,Water Heaters,8,Home Appliances,1715.0,2012-12-15
6,369007,3,2016-01-04,Not Available,571622,20,1578,3,EUR,Male,Sven Schulze,Birkenwerder,BB,Brandenburg,16547,Germany,Europe,1986-02-08,2016-01-04,EUR,0.9176,SV DVD Recorder L210 Silver,Southridge Video,Silver,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",1715.0,2012-12-15
7,370005,1,2016-01-05,Not Available,584095,24,1610,2,EUR,Male,Markus Duerr,Darmstadt,HE,Hessen,64297,Germany,Europe,1936-10-12,2016-01-05,EUR,0.9306,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Silver,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",1855.0,2012-12-15
8,370005,2,2016-01-05,Not Available,584095,24,1594,4,EUR,Male,Markus Duerr,Darmstadt,HE,Hessen,64297,Germany,Europe,1936-10-12,2016-01-05,EUR,0.9306,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Red,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",1855.0,2012-12-15
9,370006,1,2016-01-05,Not Available,661636,16,1272,6,EUR,Female,Nadine Charpentier,LIMOGES,LI,Limousin,87100,France,Europe,1945-09-22,2016-01-05,EUR,0.9306,Contoso Lens Cap Keeper E314 White,Contoso,White,3.54,6.95,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,385.0,2010-06-03
10,370008,1,2016-01-05,Not Available,183264,4,2105,1,AUD,Male,Thomas Luscombe,GAGEBROOK,TAS,Tasmania,7030,Australia,Australia,1964-01-20,2016-01-05,AUD,1.3942,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Grey,488.7,1475.0,804,Water Heaters,8,Home Appliances,2000.0,2010-01-01
11,370010,1,2016-01-05,Not Available,1393738,48,1709,3,USD,Male,Jose Cline,Boise,ID,Idaho,83702,United States,North America,1982-08-02,2016-01-05,USD,1.0,MGS Gears of War M170,Tailspin Toys,Blue,32.25,70.13,702,Download Games,7,Games and Toys,1540.0,2012-12-15
12,370010,2,2016-01-05,Not Available,1393738,48,2113,10,USD,Male,Jose Cline,Boise,ID,Idaho,83702,United States,North America,1982-08-02,2016-01-05,USD,1.0,Contoso Water Heater 2.6GPM E0900 Red,Contoso,Red,258.99,508.0,804,Water Heaters,8,Home Appliances,1540.0,2012-12-15
13,370010,3,2016-01-05,Not Available,1393738,48,2088,2,USD,Male,Jose Cline,Boise,ID,Idaho,83702,United States,North America,1982-08-02,2016-01-05,USD,1.0,Contoso Water Heater 2.6GPM E0900 White,Contoso,White,258.99,508.0,804,Water Heaters,8,Home Appliances,1540.0,2012-12-15
14,372012,1,2016-01-07,Not Available,195521,6,468,1,AUD,Male,Mitchell Saville,DURACK,WA,Western Australia,6743,Australia,Australia,1977-05-24,2016-01-07,AUD,1.4308,Proseware LCD19W M100 Black,Proseware,Black,82.32,179.0,304,Monitors,3,Computers,2000.0,2010-01-01
15,372012,2,2016-01-07,Not Available,195521,6,1560,6,AUD,Male,Mitchell Saville,DURACK,WA,Western Australia,6743,Australia,Australia,1977-05-24,2016-01-07,AUD,1.4308,The Phone Company PDA Phone 3.7 inches M340 White,The Phone Company,White,151.76,330.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2010-01-01
16,372012,3,2016-01-07,Not Available,195521,6,1094,2,AUD,Male,Mitchell Saville,DURACK,WA,Western Australia,6743,Australia,Australia,1977-05-24,2016-01-07,AUD,1.4308,Contoso SLR Camera M144 Gold,Contoso,Gold,152.68,332.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2010-01-01
17,372012,4,2016-01-07,Not Available,195521,6,171,4,AUD,Male,Mitchell Saville,DURACK,WA,Western Australia,6743,Australia,Australia,1977-05-24,2016-01-07,AUD,1.4308,SV 16xDVD E340 Black,Southridge Video,Black,45.53,99.0,202,VCD & DVD,2,TV and Video,2000.0,2010-01-01
