CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday
301,Female,Lilly Harding,WANDEARAH EAST,SA,South Australia,5523,Australia,Australia,
325,Female,Madison Hull,MOUNT BUDD,WA,Western Australia,6522,Australia,Australia,
554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,3380,Australia,Australia,
786,Male,Jai Poltpalingada,MIDDLE RIVER,SA,South Australia,5223,Australia,Australia,
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,
1086,Male,Hayden Clegg,TEMPLERS,SA,South Australia,5371,Australia,Australia,
1133,Male,Nicholas Caffyn,JUBILEE POCKET,QLD,Queensland,4802,Australia,Australia,
1256,Male,Lincoln Jenks,KULLOGUM,QLD,Queensland,4660,Australia,Australia,
1314,Male,Isaac Israel,EDITH RIVER,NT,Northern Territory,852,Australia,Australia,
1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,
1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,
1626,Female,Mary Leach,NEDS CORNER,VIC,Victoria,3496,Australia,Australia,
1642,Female,Ruby Ambrose,TARLO,NSW,New South Wales,2580,Australia,Australia,
1677,Male,Dean Innes,ELLESMERE,QLD,Queensland,4610,Australia,Australia,
1817,Female,Laura Le Rennetel,BEAUCHAMP,VIC,Victoria,3579,Australia,Australia,
1863,Female,Chelsea Watkins,NAMBOUR DC,QLD,Queensland,4560,Australia,Australia,
1945,Male,Angus Beaurepaire,GREENFIELDS,WA,Western Australia,6210,Australia,Australia,
2238,Female,Isabelle Cochran,BRUCKNELL,VIC,Victoria,3268,Australia,Australia,
2248,Male,Rory Spargo,JUNG,VIC,Victoria,3401,Australia,Australia,
2435,Female,Lilian Hall,BLAKEBROOK,NSW,New South Wales,2480,Australia,Australia,
2469,Female,Phoebe Kneeshaw,BIDWILL,QLD,Queensland,4650,Australia,Australia,
2512,Female,Matilda Hake,BUNKERS HILL,VIC,Victoria,3352,Australia,Australia,
2604,Female,Claudia Davison,KUBIN VILLAGE,QLD,Queensland,4875,Australia,Australia,
2751,Male,Nate Lowes,CALLIDE,QLD,Queensland,4715,Australia,Australia,
2792,Male,Zachary Perkin,BAMGANIE,VIC,Victoria,3333,Australia,Australia,
2836,Male,Nicholas Shand,GORDONBROOK,QLD,Queensland,4610,Australia,Australia,
3002,Male,Joshua Aronson,SMITHTON,TAS,Tasmania,7330,Australia,Australia,
3006,Female,Alica Stuckey,HARTLEY,NSW,New South Wales,2790,Australia,Australia,
3203,Male,Aidan Kane,ARGENTON,NSW,New South Wales,2284,Australia,Australia,
3270,Male,Hunter Templeton,CENTRAL TILBA,NSW,New South Wales,2546,Australia,Australia,
3327,Female,Alannah Le Messurier,KONONGWOOTONG,VIC,Victoria,3315,Australia,Australia,
3410,Male,Will Armitage,BOLLON,QLD,Queensland,4488,Australia,Australia,
3575,Male,Noah McFarland,HOPPERS CROSSING,VIC,Victoria,3029,Australia,Australia,
3964,Female,Rose Code,DIXIE,VIC,Victoria,3265,Australia,Australia,
4004,Female,Piper Wrixon,WYALLA PLAZA,QLD,Queensland,4350,Australia,Australia,
4174,Female,Rebecca Yelverton,OCEAN REEF,WA,Western Australia,6027,Australia,Australia,
4633,Female,Victoria Brown,KEYSLAND,QLD,Queensland,4612,Australia,Australia,
4734,Male,Justin Felan,PARMELIA,WA,Western Australia,6167,Australia,Australia,
4808,Male,Jamie Evenden,HAYWARDS BAY,NSW,New South Wales,2530,Australia,Australia,
4811,Male,Brayden Bulcock,WIDGIEMOOLTHA,WA,Western Australia,6443,Australia,Australia,
5097,Female,Bella Foley,Mount Pleasant,QLD,Queensland,4740,Australia,Australia,
5445,Male,Jake Clibborn,REEFTON,VIC,Victoria,3799,Australia,Australia,
5962,Male,Aiden Dugdale,SWAN BAY,NSW,New South Wales,2324,Australia,Australia,
6193,Female,Lara Cassidy,REGENCY PARK,SA,South Australia,5010,Australia,Australia,
6242,Male,Cody Grosse,KOOMBERKINE,WA,Western Australia,6461,Australia,Australia,
6258,Male,Zac Hull,SANDFORD,VIC,Victoria,3312,Australia,Australia,
6308,Male,Taj Sexton,KOOREH,VIC,Victoria,3478,Australia,Australia,
6459,Male,Mitchell Leigh,KEILOR DOWNS,VIC,Victoria,3038,Australia,Australia,
6794,Female,Abby Hyam,CALDER,TAS,Tasmania,7325,Australia,Australia,
7109,Male,Hamish Bolton,LANKEYS CREEK,NSW,New South Wales,2644,Australia,Australia,
7122,Female,Lara Virtue,HIGGINSVILLE,WA,Western Australia,6443,Australia,Australia,
7313,Female,Chelsea Keast,KANMANTOO,SA,South Australia,5252,Australia,Australia,
7398,Male,Jonathan Thorpe,COOEE BAY,QLD,Queensland,4703,Australia,Australia,
7493,Male,Declan Torrens,NOORINDOO,QLD,Queensland,4417,Australia,Australia,
7494,Male,Ben Coventry,HYDE PARK,QLD,Queensland,4812,Australia,Australia,
7566,Male,William Prenzel,KILLARA,VIC,Victoria,3691,Australia,Australia,
7664,Male,Riley Gaffney,CANOWIE,SA,South Australia,5419,Australia,Australia,
7700,Male,Lucas Keenan,STANWELL TOPS,NSW,New South Wales,2508,Australia,Australia,
7725,Female,Anna Prerauer,CURRIMUNDI,QLD,Queensland,4551,Australia,Australia,
7783,Female,Charli Gullett,MOUNT WALLACE,VIC,Victoria,3342,Australia,Australia,
8098,Female,Alana Belt,SOUTH GREENOUGH,WA,Western Australia,6528,Australia,Australia,
8181,Female,Amelie Nairn,DARTMOUTH,VIC,Victoria,3701,Australia,Australia,
8220,Male,David Blanch,Vista,SA,South Australia,5091,Australia,Australia,
8789,Female,Layla Mackellar,KALKARINDJI,NT,Northern Territory,852,Australia,Australia,
8794,Female,Abbey Lempriere,BOULDER CREEK,QLD,Queensland,4714,Australia,Australia,
8945,Female,Summer MacMahon,WARUMBUL,NSW,New South Wales,2229,Australia,Australia,
9167,Male,Luke Bushby,PARACOMBE,SA,South Australia,5132,Australia,Australia,
9184,Male,Sam Zimpel,CORUNNUN,VIC,Victoria,3249,Australia,Australia,
9360,Male,Mitchell Adam,MOPARRABAH,NSW,New South Wales,2440,Australia,Australia,
9370,Female,Ruby Lock,Cook,ACT,Australian Capital Territory,2614,Australia,Australia,
9389,Female,Eliza Brophy,YEARINAN,NSW,New South Wales,2357,Australia,Australia,
9456,Male,Ryder Abdullah,CLAREDALE,QLD,Queensland,4807,Australia,Australia,
9812,Female,Kaitlyn Morshead,MINJARY,NSW,New South Wales,2720,Australia,Australia,
9915,Female,Ebony Buxton,SEPPINGS,WA,Western Australia,6330,Australia,Australia,
10039,Female,Brianna Hann,NIKENBAH,QLD,Queensland,4655,Australia,Australia,
10189,Female,Alexis Birchell,FOREST REEFS,NSW,New South Wales,2798,Australia,Australia,
10276,Male,Angus Bardolph,BATEAU BAY,NSW,New South Wales,2261,Australia,Australia,
10299,Male,Anthony Macvitie,BEELBANGERA,NSW,New South Wales,2680,Australia,Australia,
10332,Male,James Burnage,Palmyra,WA,Western Australia,6157,Australia,Australia,
10393,Male,Nicholas Moncrieff,ROSENTHAL HEIGHTS,QLD,Queensland,4370,Australia,Australia,
10395,Male,Cameron Dillon,STRATHERNE,WA,Western Australia,6309,Australia,Australia,
10481,Female,Piper Maudsley,CELLS RIVER,NSW,New South Wales,2324,Australia,Australia,
10504,Male,Daniel Rusconi,SOUTH DATATINE,WA,Western Australia,6317,Australia,Australia,
10717,Male,Harrison Ingram,MAYA,WA,Western Australia,6614,Australia,Australia,
11035,Female,Makayla Meldrum,KINGS FOREST,NSW,New South Wales,2487,Australia,Australia,
11090,Female,Scarlett Scollen,SILVERWATER,NSW,New South Wales,2128,Australia,Australia,
11587,Male,Andrew Fenbury,York,WA,Western Australia,6302,Australia,Australia,
11736,Female,Summer Brownrigg,YARRABILBA,QLD,Queensland,4207,Australia,Australia,
12084,Male,Toby Chauvel,GALGA,SA,South Australia,5308,Australia,Australia,
12160,Male,Jett Creal,Oakhurst,NSW,New South Wales,2761,Australia,Australia,
12162,Female,Eva Lavarack,WHITTINGTON,VIC,Victoria,3219,Australia,Australia,
12207,Male,Aiden Jull,OGMORE,QLD,Queensland,4706,Australia,Australia,
12256,Female,Lilly Lynn,ROTHBURY,NSW,New South Wales,2320,Australia,Australia,
12365,Female,Natalie Lyon,STEEPLE FLAT,NSW,New South Wales,2631,Australia,Australia,
12385,Female,Lily Gribble,OVERLAND CORNER,SA,South Australia,5330,Australia,Australia,
12392,Female,Laura Waterhouse,GREENHILL,SA,South Australia,5140,Australia,Australia,
12649,Female,Rose Raven,NOBLE PARK NORTH,VIC,Victoria,3174,Australia,Australia,
12729,Male,Xavier Sturdee,STANNUM,NSW,New South Wales,2371,Australia,Australia,
12810,Male,Patrick Newbigin,Deer Park,VIC,Victoria,3023,Australia,Australia,
12859,Male,Koby Rayment,NABAWA,WA,Western Australia,6532,Australia,Australia,
12868,Male,Nathan Greville,MALLALA,SA,South Australia,5502,Australia,Australia,
13045,Female,Abbey Storkey,BLUE MOUNTAIN HEIGHTS,QLD,Queensland,4350,Australia,Australia,
13071,Female,Claudia Fuller,CUBALLING,WA,Western Australia,6311,Australia,Australia,
13232,Female,Maya Coates,UNLEY BC,SA,South Australia,5061,Australia,Australia,
13365,Male,Mitchell Cutlack,MOONEM,NSW,New South Wales,2471,Australia,Australia,
13607,Female,Gemma Maum,MAMBRAY CREEK,SA,South Australia,5495,Australia,Australia,
14069,Male,Jacob Gairdner,ROB ROY,NSW,New South Wales,2360,Australia,Australia,
14180,Female,Ava Lockyer,KALGOORLIE,WA,Western Australia,6430,Australia,Australia,
14275,Female,Dakota Dunshea,BENTLEY,NSW,New South Wales,2480,Australia,Australia,
14906,Female,Grace Houghton,BOYER,TAS,Tasmania,7140,Australia,Australia,
14962,Female,Mackenzie Newell,Crestwood,NSW,New South Wales,2153,Australia,Australia,
14988,Female,Emily Thirkell,WYNDHAM VALE,VIC,Victoria,3024,Australia,Australia,
15109,Female,Sara Marsden,WHALE BEACH,NSW,New South Wales,2107,Australia,Australia,
15385,Male,Harry Morgans,DOONGIN,WA,Western Australia,6409,Australia,Australia,
15391,Female,Elizabeth Horsley,MARRAWEENEY,VIC,Victoria,3669,Australia,Australia,
15569,Female,Chelsea Weekes,COLAC,VIC,Victoria,3250,Australia,Australia,
15718,Female,Natalie Tennant,DAKENBA,QLD,Queensland,4715,Australia,Australia,
16193,Female,Isabelle Beggs,ALTONA,SA,South Australia,5351,Australia,Australia,
16282,Female,Evie Kirkhope,REIDS FLAT,NSW,New South Wales,2586,Australia,Australia,
16716,Female,Abby Frater,KAYUGA,NSW,New South Wales,2333,Australia,Australia,
17412,Male,Mitchell Kwok,VICTORIA PARK,WA,Western Australia,6100,Australia,Australia,
17811,Female,Alicia Hoy,WATTLE GLEN,VIC,Victoria,3096,Australia,Australia,
18067,Male,Rory Koerstz,MOUNT MCKENZIE,SA,South Australia,5353,Australia,Australia,
18263,Male,Callum Semmens,RURAL VIEW,QLD,Queensland,4740,Australia,Australia,
18309,Male,Michael Vogt,FYANS CREEK,VIC,Victoria,3381,Australia,Australia,
18470,Male,Zac Pryor,GOSFORD,NSW,New South Wales,2250,Australia,Australia,
18493,Male,George Kevin,TASCOTT,NSW,New South Wales,2250,Australia,Australia,
18714,Male,Ashton Aitken,PINWERNYING,WA,Western Australia,6317,Australia,Australia,
18887,Female,Zara Castleton,BOOROLITE,VIC,Victoria,3723,Australia,Australia,
19082,Male,Matthew Denman,RANSOME,QLD,Queensland,4154,Australia,Australia,
19207,Male,Luke Casimaty,KURRACA,VIC,Victoria,3518,Australia,Australia,
19404,Male,Cody O'Hea,WYNNUM,QLD,Queensland,4178,Australia,Australia,
19534,Female,Leah Martin,TOOBORAC,VIC,Victoria,3522,Australia,Australia,
19579,Female,Ava Reye,BARCALDINE,QLD,Queensland,4725,Australia,Australia,
19726,Female,Victoria Daly,WATANOBBI,NSW,New South Wales,2259,Australia,Australia,
19732,Female,Olivia Moresby,WAPPILKA,SA,South Australia,5332,Australia,Australia,
19753,Female,Alyssa Solander,HOWTH,TAS,Tasmania,7316,Australia,Australia,
19916,Male,Hunter Samuel,LITTLE PLAIN,NSW,New South Wales,2360,Australia,Australia,
20069,Male,Jesse Parry-Okeden,GWINDINUP,WA,Western Australia,6237,Australia,Australia,
20092,Female,Victoria Fitzsimmons,CAMBRIDGE GARDENS,NSW,New South Wales,2747,Australia,Australia,
20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,
20623,Female,Eva Rendall,CARLYLE,VIC,Victoria,3685,Australia,Australia,
20802,Male,Ben Whitworth,POLDA,SA,South Australia,5670,Australia,Australia,
20946,Female,Taylah Walstab,WINTHROP,WA,Western Australia,6150,Australia,Australia,
21203,Male,Tristan Dobie,CHARTWELL,VIC,Victoria,3030,Australia,Australia,
21387,Male,Christian Hughes,CREMORNE,NSW,New South Wales,2090,Australia,Australia,
21424,Male,Justin Tickell,HEYTESBURY LOWER,VIC,Victoria,3268,Australia,Australia,
21460,Female,Kayla De Beuzeville,GLENLYNN,WA,Western Australia,6256,Australia,Australia,
21523,Male,Jayden Rennie,SWANHAVEN,NSW,New South Wales,2540,Australia,Australia,
21575,Male,Zac Chumleigh,CRAIGIE,WA,Western Australia,6025,Australia,Australia,
21654,Female,Amber Monger,PARLIAMENT HOUSE,SA,South Australia,5000,Australia,Australia,
21819,Female,Matilda Blacklock,Cleveland,TAS,Tasmania,7211,Australia,Australia,
21870,Female,Summer Gramp,BELTANA,SA,South Australia,5730,Australia,Australia,
22158,Male,Will Parer,CHURCH POINT,NSW,New South Wales,2105,Australia,Australia,
22384,Male,Jaxon Cox,PEARCE,ACT,Australian Capital Territory,2607,Australia,Australia,
22540,Male,Connor Ruwolt,BANDYA,WA,Western Australia,6440,Australia,Australia,
22775,Male,Flynn Campion,NEEDLES,TAS,Tasmania,7304,Australia,Australia,
22826,Male,Edward Putilin,ASHFIELD,QLD,Queensland,4670,Australia,Australia,
23128,Male,Zane Sinclaire,SUMMERLANDS,VIC,Victoria,3922,Australia,Australia,
23203,Female,Gemma Philipp,MADORA BAY,WA,Western Australia,6210,Australia,Australia,
23267,Female,Gabrielle Zinnbauer,FLINDERS VIEW,QLD,Queensland,4305,Australia,Australia,
23320,Female,Samantha Weigel,WITTENOOM,WA,Western Australia,6751,Australia,Australia,
23431,Female,Grace Scarf,SHEEP HILLS,VIC,Victoria,3392,Australia,Australia,
23599,Female,Maddison Blanc,FORRESTERS BEACH,NSW,New South Wales,2260,Australia,Australia,
23854,Male,Ali Wroblewski,MURRAWOMBIE,NSW,New South Wales,2825,Australia,Australia,
24069,Male,Edward Carron,ULMARRA,NSW,New South Wales,2462,Australia,Australia,
24230,Female,Zoe Dadswell,DAVOREN PARK SOUTH,SA,South Australia,5113,Australia,Australia,
24575,Female,Stella O'Mahony,PLACID HILLS,QLD,Queensland,4343,Australia,Australia,
24920,Female,Natalie Robey,CORNY POINT,SA,South Australia,5575,Australia,Australia,
25308,Female,Angelina Kates,WEST WIANGAREE,NSW,New South Wales,2474,Australia,Australia,
25771,Female,Mikayla Shenton,BOOLCARROLL,NSW,New South Wales,2388,Australia,Australia,
25864,Male,Zane Corkill,SHIRLEY,VIC,Victoria,3373,Australia,Australia,
25935,Male,Charlie D'Arcy,BURNT YARDS,NSW,New South Wales,2792,Australia,Australia,
26458,Male,George Creer,Westbury,VIC,Victoria,3825,Australia,Australia,
26477,Male,Caleb Willshire,MORISSET,NSW,New South Wales,2264,Australia,Australia,
26642,Male,Noah Moloney,ELIZABETH BEACH,NSW,New South Wales,2428,Australia,Australia,
26728,Female,Gemma Allan,MARRICKVILLE SOUTH,NSW,New South Wales,2204,Australia,Australia,
26906,Male,Xavier McPhee,CLEMTON PARK,NSW,New South Wales,2206,Australia,Australia,
26914,Female,Amelia England,MOUNT COTTRELL,VIC,Victoria,3024,Australia,Australia,
26970,Female,Rose Frater,BENDIGO SOUTH,VIC,Victoria,3550,Australia,Australia,
27125,Female,Ashley Hornung,ARNO BAY,SA,South Australia,5603,Australia,Australia,
27210,Male,Liam Osborn,MOOTAI,NSW,New South Wales,2325,Australia,Australia,
27356,Male,Hamish D'Hage,TURRAMURRA,NSW,New South Wales,2074,Australia,Australia,
27432,Female,Mikayla Favenc,CLEVE,SA,South Australia,5640,Australia,Australia,
27492,Female,Bianca Coombe,YAMBUK,VIC,Victoria,3285,Australia,Australia,
27616,Male,Cameron Tebbutt,BANNOCKBURN,VIC,Victoria,3331,Australia,Australia,
27896,Male,Zachary McLeish,JACUP,WA,Western Australia,6337,Australia,Australia,
27945,Male,Charlie Stralia,SOFALA,NSW,New South Wales,2795,Australia,Australia,
28076,Female,Alannah Onus,AVOCA,TAS,Tasmania,7213,Australia,Australia,
28559,Male,Samuel Israel,YILKI,SA,South Australia,5211,Australia,Australia,
28690,Male,Leo Walcott,MILLCHESTER,QLD,Queensland,4820,Australia,Australia,
28702,Female,Charli Lhotsky,DREWVALE,QLD,Queensland,4116,Australia,Australia,
29041,Male,Logan Barling,LINDENOW,VIC,Victoria,3865,Australia,Australia,
29278,Male,Justin Hartog,PINEVALE,QLD,Queensland,4754,Australia,Australia,
29303,Male,Max Cohn,KIRTON POINT,SA,South Australia,5606,Australia,Australia,
29320,Male,Levi Barraclough,BLACKBUTT,NSW,New South Wales,2529,Australia,Australia,
